,Origin Time,Year,Latitude,Longitude,Depth,Magnitude,Location,Place,color
2040,2020-03-27 18:49:42,2020,32.73,76.2,3.0,3.6,"58km NNW of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
2048,2020-03-27 16:21:13,2020,32.74,76.2,5.0,2.9,"59km NNW of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
2049,2020-03-27 16:06:48,2020,32.73,76.23,3.0,2.9,"57km N of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
2064,2020-03-24 20:07:47,2020,32.9,73.6,22.0,3.4,"84km SW of Rajouri, Jammu and Kashmir", Jammu & Kashmir,0
452,2021-04-03 00:10:20,2021,32.68,76.48,10.0,3.0,"53km NNE of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
445,2021-04-05 02:01:55,2021,32.63,76.32,14.0,2.4,"45km N of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
444,2021-04-05 03:39:13,2021,32.69,76.59,5.0,2.8,"58km NNE of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
2047,2020-03-27 16:31:15,2020,32.74,76.22,3.0,2.9,"58km N of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
919,2020-11-15 12:19:34,2020,31.04,75.95,10.0,2.9,"47km SE of Jalandhar, Punjab, India", Punjab,0
2145,2020-03-04 17:12:34,2020,33.3,75.6,5.0,3.4,"71km ENE of Katra, Jammu and Kashmir, India", Jammu & Kashmir,0
2158,2020-03-01 10:13:38,2020,31.3,77.4,5.0,3.2,"30km NE of Shimla, Himachal Pradesh, India", Himachal Pradesh,0
2162,2020-02-29 04:41:56,2020,33.0,76.2,10.0,3.2,"87km N of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
2165,2020-02-28 19:02:22,2020,33.0,76.1,10.0,2.8,"89km NNW of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
412,2021-04-14 02:09:37,2021,32.63,75.98,14.0,2.8,"55km NW of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
407,2021-04-14 21:00:48,2021,34.19,76.63,5.0,3.6,"51km W of Alchi(Leh),Jammu & Kashmir,India", Jammu & Kashmir,0
1225,2020-09-11 06:20:30,2020,33.33,75.62,5.0,2.9,"74km ENE of Katra, Jammu and Kashmir, India", Jammu & Kashmir,0
2046,2020-03-27 16:54:39,2020,32.73,76.23,3.0,2.6,"57km N of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
2045,2020-03-27 17:11:19,2020,32.72,76.18,3.0,3.5,"57km NNW of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
2044,2020-03-27 17:17:01,2020,32.75,76.08,3.0,4.2,"63km NNW of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
2018,2020-03-30 07:49:27,2020,32.7,76.0,5.0,2.9,"61km NNW of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
2020,2020-03-30 01:35:18,2020,32.7,76.1,5.0,2.5,"57km NNW of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
2022,2020-03-30 00:17:49,2020,32.9,76.0,10.0,2.5,"81km NNW of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
2023,2020-03-29 23:57:33,2020,32.7,76.1,5.0,2.5,"57km NNW of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
2024,2020-03-29 23:47:46,2020,32.7,76.1,10.0,4.5,"57km NNW of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
2027,2020-03-29 11:31:23,2020,32.73,76.0,3.0,2.6,"64km NNW of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
490,2021-03-23 11:27:04,2021,33.64,76.28,10.0,3.0,"98km ESE of Pahalgam, Jammu and Kashmir, India", Jammu & Kashmir,0
2029,2020-03-29 06:19:29,2020,32.75,76.14,3.0,2.3,"61km NNW of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
2032,2020-03-29 03:55:26,2020,32.8,76.0,5.0,2.4,"71km NNW of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
2038,2020-03-27 20:43:01,2020,32.65,76.26,2.0,3.2,"48km N of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
2039,2020-03-27 18:58:41,2020,32.95,76.0,3.0,3.1,"86km NNW of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
1234,2020-09-11 01:53:33,2020,33.03,73.63,10.0,4.3,"74km WSW of Rajouri, Jammu and Kashmir", Jammu & Kashmir,0
2041,2020-03-27 17:47:26,2020,32.74,76.17,3.0,2.4,"59km NNW of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
2042,2020-03-27 17:45:14,2020,32.38,76.78,3.0,3.0,"41km WNW of Manali, Himachal Pradesh, India", Himachal Pradesh,0
2043,2020-03-27 17:39:41,2020,32.73,76.25,3.0,2.6,"57km N of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
2167,2020-02-28 16:37:13,2020,32.9,76.1,10.0,4.1,"78km NNW of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
